1234567891234;1;15.6;123456
1234567891234;2;6.8;787878
8204978128978;3;25.46;123456
8204978128978;1;65.2;123456
1234567891234;2;4.56;787878
8204978128978;2;66.5;301230
5814970014160;1;7.89;304722
9187964837960;1;17.96;905862
5814970014160;1;8.03;779726
1234567891234;1;26.15;555666
4027354076952;1;4.24;226841
9187964837960;1;21.86;301230
1234567891234;1;7.10;123456
5831652139534;1;3.71;398085
5814970014160;1;26.50;301230
4027354076952;1;28.22;779726
1234567891234;1;7.75;281967
3635699994990;1;18.47;779726
3635699994990;1;22.08;779726
1234567891234;1;0.77;555666
